# Frequency [GHz]	 	DipolX [Ohm/m]	  	DipolY [Ohm/m]	 	QuadX [Ohm/m]	 	QuadY [Ohm/m]
 (0.00005600000000+0.00000000000000j)	 (-6.66201716738198+15555.49034334763928j)	 (-32.53197424892704+75959.27306866952858j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00005700000000+0.00000000000000j)	 (-6.78098175965665+15555.21338519313394j)	 (-33.11290236051502+75957.92080203862861j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00005800000000+0.00000000000000j)	 (-6.89994635193133+15554.93642703862679j)	 (-33.69383047210301+75956.56853540772863j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00005900000000+0.00000000000000j)	 (-7.01891094420601+15554.65946888411963j)	 (-34.27475858369099+75955.21626877682866j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00006000000000+0.00000000000000j)	 (-7.13787553648069+15554.38251072961430j)	 (-34.85568669527897+75953.86400214592868j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00006100000000+0.00000000000000j)	 (-7.25684012875537+15554.10555257510714j)	 (-35.43661480686696+75952.51173551502870j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00006200000000+0.00000000000000j)	 (-7.37580472103004+15553.82859442059998j)	 (-36.01754291845494+75951.15946888411418j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00006300000000+0.00000000000000j)	 (-7.49476931330472+15553.55163626609465j)	 (-36.59847103004292+75949.80720225321420j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00006400000000+0.00000000000000j)	 (-7.61373390557940+15553.27467811158749j)	 (-37.17939914163090+75948.45493562231422j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00006500000000+0.00000000000000j)	 (-7.73269849785408+15552.99771995708215j)	 (-37.76032725321888+75947.10266899141425j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00006600000000+0.00000000000000j)	 (-7.85166309012876+15552.72076180257500j)	 (-38.34125536480686+75945.75040236051427j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00006700000000+0.00000000000000j)	 (-7.97062768240343+15552.44380364806784j)	 (-38.92218347639485+75944.39813572961430j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00006800000000+0.00000000000000j)	 (-8.08959227467811+15552.16684549356250j)	 (-39.50311158798284+75943.04586909871432j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00006900000000+0.00000000000000j)	 (-8.20855686695279+15551.88988733905535j)	 (-40.08403969957082+75941.69360246781434j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00007000000000+0.00000000000000j)	 (-8.32752145922747+15551.61292918455001j)	 (-40.66496781115880+75940.34133583691437j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00007100000000+0.00000000000000j)	 (-8.44648605150215+15551.33597103004286j)	 (-41.24589592274678+75938.98906920601439j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00007200000000+0.00000000000000j)	 (-8.56545064377683+15551.05901287553570j)	 (-41.82682403433477+75937.63680257511442j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00007300000000+0.00000000000000j)	 (-8.68441523605150+15550.78205472103036j)	 (-42.40775214592275+75936.28453594419989j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00007400000000+0.00000000000000j)	 (-8.80337982832618+15550.50509656652321j)	 (-42.98868025751073+75934.93226931329991j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00007500000000+0.00000000000000j)	 (-8.92234442060086+15550.22813841201787j)	 (-43.56960836909871+75933.58000268239994j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00007600000000+0.00000000000000j)	 (-9.04130901287554+15549.95118025751071j)	 (-44.15053648068669+75932.22773605149996j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00007700000000+0.00000000000000j)	 (-9.16027360515022+15549.67422210300356j)	 (-44.73146459227468+75930.87546942059998j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00007800000000+0.00000000000000j)	 (-9.27923819742489+15549.39726394849822j)	 (-45.31239270386266+75929.52320278970001j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00007900000000+0.00000000000000j)	 (-9.39820278969957+15549.12030579399107j)	 (-45.89332081545064+75928.17093615880003j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00008000000000+0.00000000000000j)	 (-9.51716738197425+15548.84334763948573j)	 (-46.47424892703862+75926.81866952790006j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00008100000000+0.00000000000000j)	 (-9.63613197424893+15548.56638948497857j)	 (-47.05517703862660+75925.46640289700008j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00008200000000+0.00000000000000j)	 (-9.75509656652361+15548.28943133047142j)	 (-47.63610515021460+75924.11413626610010j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00008300000000+0.00000000000000j)	 (-9.87406115879828+15548.01247317596608j)	 (-48.21703326180258+75922.76186963520013j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00008400000000+0.00000000000000j)	 (-9.99302575107296+15547.73551502145892j)	 (-48.79796137339056+75921.40960300428560j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00008500000000+0.00000000000000j)	 (-10.11199034334764+15547.45855686695359j)	 (-49.37888948497854+75920.05733637338562j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00008600000000+0.00000000000000j)	 (-10.23095493562232+15547.18159871244643j)	 (-49.95981759656652+75918.70506974248565j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00008700000000+0.00000000000000j)	 (-10.34991952789700+15546.90464055793927j)	 (-50.54074570815451+75917.35280311158567j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00008800000000+0.00000000000000j)	 (-10.46888412017167+15546.62768240343394j)	 (-51.12167381974249+75916.00053648068570j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00008900000000+0.00000000000000j)	 (-10.58784871244635+15546.35072424892678j)	 (-51.70260193133047+75914.64826984978572j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00009000000000+0.00000000000000j)	 (-10.70681330472103+15546.07376609442144j)	 (-52.28353004291845+75913.29600321888574j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00009100000000+0.00000000000000j)	 (-10.82577789699571+15545.79680793991429j)	 (-52.86445815450644+75911.94373658798577j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00009200000000+0.00000000000000j)	 (-10.94474248927039+15545.51984978540713j)	 (-53.44538626609442+75910.59146995708579j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00009300000000+0.00000000000000j)	 (-11.06370708154506+15545.24289163090179j)	 (-54.02631437768240+75909.23920332618582j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00009400000000+0.00000000000000j)	 (-11.18267167381974+15544.96593347639464j)	 (-54.60724248927038+75907.88693669528584j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00009500000000+0.00000000000000j)	 (-11.30163626609442+15544.68897532188930j)	 (-55.18817060085836+75906.53467006437131j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00009600000000+0.00000000000000j)	 (-11.42060085836910+15544.41201716738215j)	 (-55.76909871244636+75905.18240343347134j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00009700000000+0.00000000000000j)	 (-11.53956545064378+15544.13505901287499j)	 (-56.35002682403434+75903.83013680257136j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00009800000000+0.00000000000000j)	 (-11.65853004291846+15543.85810085836965j)	 (-56.93095493562232+75902.47787017167138j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00009900000000+0.00000000000000j)	 (-11.77749463519313+15543.58114270386250j)	 (-57.51188304721030+75901.12560354077141j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00010000000000+0.00000000000000j)	 (-11.89645922746781+15543.30418454935534j)	 (-58.09281115879828+75899.77333690987143j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00010100000000+0.00000000000000j)	 (-12.01542381974249+15543.02722639485000j)	 (-58.67373927038627+75898.42107027897146j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00010200000000+0.00000000000000j)	 (-12.13438841201717+15542.75026824034285j)	 (-59.25466738197425+75897.06880364807148j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00010300000000+0.00000000000000j)	 (-12.25335300429185+15542.47331008583751j)	 (-59.83559549356223+75895.71653701717150j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00010400000000+0.00000000000000j)	 (-12.37231759656652+15542.19635193133036j)	 (-60.41652360515021+75894.36427038627153j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00010500000000+0.00000000000000j)	 (-12.49128218884120+15541.91939377682320j)	 (-60.99745171673820+75893.01200375537155j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00010600000000+0.00000000000000j)	 (-12.61024678111588+15541.64243562231786j)	 (-61.57837982832618+75891.65973712445702j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00010700000000+0.00000000000000j)	 (-12.72921137339056+15541.36547746781071j)	 (-62.15930793991416+75890.30747049355705j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00010800000000+0.00000000000000j)	 (-12.84817596566524+15541.08851931330537j)	 (-62.74023605150214+75888.95520386265707j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00010900000000+0.00000000000000j)	 (-12.96714055793992+15540.81156115879821j)	 (-63.32116416309012+75887.60293723175710j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00011000000000+0.00000000000000j)	 (-13.08610515021459+15540.53460300429106j)	 (-63.90209227467811+75886.25067060085712j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00011100000000+0.00000000000000j)	 (-13.20506974248927+15540.25764484978572j)	 (-64.48302038626609+75884.89840396995714j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00011200000000+0.00000000000000j)	 (-13.32403433476395+15539.98068669527856j)	 (-65.06394849785408+75883.54613733905717j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00011300000000+0.00000000000000j)	 (-13.44299892703863+15539.70372854077323j)	 (-65.64487660944206+75882.19387070815719j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00011400000000+0.00000000000000j)	 (-13.56196351931331+15539.42677038626607j)	 (-66.22580472103004+75880.84160407725722j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00011500000000+0.00000000000000j)	 (-13.68092811158798+15539.14981223175892j)	 (-66.80673283261802+75879.48933744635724j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00011600000000+0.00000000000000j)	 (-13.79989270386266+15538.87285407725358j)	 (-67.38766094420602+75878.13707081545726j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00011700000000+0.00000000000000j)	 (-13.91885729613734+15538.59589592274642j)	 (-67.96858905579400+75876.78480418454274j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00011800000000+0.00000000000000j)	 (-14.03782188841202+15538.31893776824108j)	 (-68.54951716738198+75875.43253755364276j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00011900000000+0.00000000000000j)	 (-14.15678648068670+15538.04197961373393j)	 (-69.13044527896996+75874.08027092274278j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00012000000000+0.00000000000000j)	 (-14.27575107296137+15537.76502145922677j)	 (-69.71137339055794+75872.72800429184281j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00012100000000+0.00000000000000j)	 (-14.39471566523605+15537.48806330472144j)	 (-70.29230150214593+75871.37573766094283j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00012200000000+0.00000000000000j)	 (-14.51368025751073+15537.21110515021428j)	 (-70.87322961373391+75870.02347103004286j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00012300000000+0.00000000000000j)	 (-14.63264484978541+15536.93414699570894j)	 (-71.45415772532188+75868.67120439914288j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00012400000000+0.00000000000000j)	 (-14.75160944206009+15536.65718884120179j)	 (-72.03508583690987+75867.31893776824290j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00012500000000+0.00000000000000j)	 (-14.87057403433477+15536.38023068669463j)	 (-72.61601394849787+75865.96667113734293j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00012600000000+0.00000000000000j)	 (-14.98953862660944+15536.10327253218929j)	 (-73.19694206008585+75864.61440450644295j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00012700000000+0.00000000000000j)	 (-15.10850321888412+15535.82631437768214j)	 (-73.77787017167383+75863.26213787554298j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00012800000000+0.00000000000000j)	 (-15.22746781115880+15535.54935622317680j)	 (-74.35879828326181+75861.90987124462845j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00012900000000+0.00000000000000j)	 (-15.34643240343348+15535.27239806866964j)	 (-74.93972639484979+75860.55760461372847j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00013000000000+0.00000000000000j)	 (-15.46539699570816+15534.99543991416249j)	 (-75.52065450643777+75859.20533798282850j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00013100000000+0.00000000000000j)	 (-15.58436158798283+15534.71848175965715j)	 (-76.10158261802574+75857.85307135192852j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
