# Frequency [GHz]	 	DipolX [Ohm/m]	  	DipolY [Ohm/m]	 	QuadX [Ohm/m]	 	QuadY [Ohm/m]
 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+4478304.97619393002242j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00001600000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+4478304.97619393002242j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00001700000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+4478304.97619393002242j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00001800000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+4478304.97619393002242j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00001900000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+4478304.97619393002242j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00002000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+4478304.97619393002242j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00002100000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+4478304.97619393002242j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00002200000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+4478304.97619393002242j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00002300000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+4478304.97619393002242j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00002400000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+4478304.97619393002242j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00002500000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+4478304.97619393002242j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00002600000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+4478304.97619393002242j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00002700000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+4478304.97619393002242j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00002800000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+4478304.97619393002242j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00002900000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+4478304.97619393002242j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00003000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+4478304.97619393002242j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00003100000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+4478304.97619393002242j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00003200000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+4478304.97619393002242j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00003300000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+4478304.97619393002242j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00003400000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+4478304.97619393002242j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00003500000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+4478304.97619393002242j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00003600000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+4478304.97619393002242j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00003700000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+4478304.97619393002242j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
 (0.00003800000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+4478304.97619393002242j)	 (0.00000000000000+0.00000000000000j)	 (0.00000000000000+0.00000000000000j)
